auction	rent_returned_sol	closed_by	signature
C7rmXwYMbLGFmmmuz2H3wZvD1GHLtWNZuq1g86xvonYH	0.018328640	railway keeper	2kMCW6PfD9ZsUMpaiN9B8zGndXHF1ReTAT88KxooCnETgQ61R38EWUC8LGXfx6ZF6sYf9GkCVPLo5yMnwoVNZDmJ
CFE65h1LnPzaVqYwtDUP2BiX36N6aFCW3Swa51pvYE3H	0.018328640	railway keeper	3aVmc7GJvz2nCctSUEnABxbAT2VybPNYVdKkYcTEwfkisJ66ntt1dNuvYpxhAEk3G6Yqi4fWEy4e4X2rLmFnccRZ
CGa8PWL4QkViK7Nh38pKfxAGAwYNXnWCQzfGa8FpLZBw	0.018328640	railway keeper	4Mt1gqrX1bsqggvtcD1BeMizcueWKwnbZm5QqWAuLg4nyi2ie2kxBRY1bvYn6hnH2Xd8W2Gnm4j83wsktyNnm4wK
CSji1YWNvymqyBsBu7THgbKKQY7ErnNLeUAmgqSvXzvK	0.018328640	railway keeper	4vdhkabrRrzcVwYKtv7N45E4qo91eWBAQVoeptNjxbapMVUB3ujPCX4P1QZUJjZRjkMa5tgp9TVkqpxXEyPQiBec
CT3nYrh5P3ZLqSWHHLJT1ydahzTf6DFzWUWPiy9hGGYt	0.018328640	railway keeper	3SUXmxYhcGE8LzkoQhyWPF4yJMxTX7yNfJgEhwuymnusF6ZdWChEiHqR2q1ZzuUHZS1itJyu8oKyMJrKMRDcc7mB
CUrAevTgFbJxMMVRZTA7tXJg5QuUkQRzoT7w9jiCg6DW	0.018328640	railway keeper	3uNfvJeYMpnNo3TGC9HWmHM2K1PvjFfY8twE7Hc1s4YNsAepvLaqVNMzbbZ5eZrTQUrNVmrkjaeSpo5VhqRmZMx8
CcCWV7DQq9Hbbd25rnkLEnkY1L2Avhfe7FnPB9pP43DR	0.018328640	railway keeper	4LNd1BYBMMkS5NZYRJvVPv9Kom7cYLbty8wFxPBFFZESbXgRqsjCh2Y6iF5zXUvT9rtL2qGiefnCcL7xPoaex3SB
ChCY2vjsRRDwCHoPkonETCac2X4Qcam38tidanLmM3mB	0.018328640	railway keeper	4YWeiHqU2neuTAyKRwn2rdw9CuZmft18ArYrtYQ4n7AQ7m2Wk1RSZhP5Q1UcgFCfd2ogb2YP5rVxQRXZLte1Fjj5
CiZFtiPdKbM3X5qXDaDfH7adZus7zzTk6eum1gqe94Eh	0.018328640	railway keeper	56aohkSsEcd22iZF4ZRgsG7PgskezZ8XgJmahC8Xc9thPAJdroN3N1gSemRUREFz1qhMSWgF2DYFxVQN1feBKEmp
DDKZLjnsyRBSbv4kZeJHhrXawH91z5UEoc5Lnr56sGhp	0.018328640	railway keeper	62qtaoR2TFangYHYcKwCV3dCUT7jVKv6MdiXFg1vmYWekkViQFyYerS2MotXYEqvuqytVwudpqS9jpg8UjaKp5iJ
